series,participant,calories,total_time_2000m,avg_spm_2000m,total_strokes_2000m,split_time_500m_1,split_spm_500m_1,split_strokes_500m_1,split_time_500m_2,split_spm_500m_2,split_strokes_500m_2,split_time_500m_3,split_spm_500m_3,split_strokes_500m_3,split_time_500m_4,split_spm_500m_4,split_strokes_500m_4,total_time_2000m_seconds,avg_speed_2000,avg_speed_500m_1,avg_speed_500m_2,avg_speed_500m_3,avg_speed_500m_4,avg_stroke_length_2000m,avg_stroke_length_500m_1,avg_stroke_length_500m_2,avg_stroke_length_500m_3,avg_stroke_length_500m_4,sex
4,Ivan,121,8:41.9,31,274,1211,33,67,1310,31,67,1353,31,69,1345,32,71,521.9,13.795746311553938,14.863748967795209,13.740458015267176,13.303769401330376,13.382899628252789,7.299270072992701,7.462686567164179,7.462686567164179,7.246376811594203,7.042253521126761,M
4,Lison,118,8:56.7,30,275,1282,32,68,1344,31,69,1421,30,71,1320,30,67,536.7,13.415315818893236,14.040561622464898,13.392857142857142,12.66713581984518,13.636363636363637,7.2727272727272725,7.352941176470588,7.246376811594203,7.042253521126761,7.462686567164179,F
4,Charlotte,114,9:15.9,29,275,1311,32,70,1394,30,69,1428,27,65,1426,30,71,555.9,12.951969778737185,13.729977116704806,12.912482065997132,12.605042016806722,12.622720897615709,7.2727272727272725,7.142857142857143,7.246376811594203,7.6923076923076925,7.042253521126761,F
5,Merle,114,9:17.3,30,279,1332,32,70,1390,30,69,1444,29,70,1407,30,70,557.3,12.919432980441416,13.513513513513514,12.949640287769785,12.465373961218836,12.79317697228145,7.168458781362007,7.142857142857143,7.246376811594203,7.142857142857143,7.142857142857143,F
5,Léonore,110,9:44.0,25,248,1379,30,68,1485,25,62,1494,24,60,1482,23,58,584.0,12.328767123287673,13.052936910804931,12.121212121212121,12.048192771084336,12.145748987854251,8.064516129032258,7.352941176470588,8.064516129032258,8.333333333333334,8.620689655172415,F
5,Valérie,109,9:56.3,28,279,1440,29,69,1508,27,67,1516,27,69,1499,30,74,596.3,12.074459164849909,12.5,11.936339522546419,11.87335092348285,12.00800533689126,7.168458781362007,7.246376811594203,7.462686567164179,7.246376811594203,6.756756756756757,F
5,Amaury,103,10:47.1,34,372,1617,34,92,1668,33,93,1629,34,92,1557,37,95,647.1,11.126564673157164,11.131725417439704,10.79136690647482,11.049723756906078,11.560693641618498,5.376344086021505,5.434782608695652,5.376344086021505,5.434782608695652,5.2631578947368425,M
6,Thomas,154,6:59.5,33,234,1010,34,57,1055,31,54,1076,32,57,1053,38,66,419.5,17.163289630512516,17.821782178217823,17.061611374407583,16.728624535315987,17.094017094017094,8.547008547008547,8.771929824561404,9.25925925925926,8.771929824561404,7.575757575757576,M
6,Jerome,153,7:02.0,31,224,1040,31,54,1055,31,55,1066,32,56,1060,33,59,422.0,17.061611374407583,17.30769230769231,17.061611374407583,16.885553470919323,16.9811320754717,8.928571428571429,9.25925925925926,9.090909090909092,8.928571428571429,8.474576271186441,M
6,Corentin,147,7:15.9,27,200,1083,28,51,1109,25,47,1099,26,48,1068,30,54,435.9,16.517549896765313,16.62049861495845,16.230838593327324,16.378525932666058,16.853932584269664,10.0,9.803921568627452,10.638297872340425,10.416666666666666,9.25925925925926,M
6,Dominique,117,8:59.7,28,260,1341,29,65,1382,28,64,1378,28,65,1296,31,66,539.7,13.340744858254585,13.422818791946309,13.024602026049203,13.062409288824384,13.88888888888889,7.6923076923076925,7.6923076923076925,7.8125,7.6923076923076925,7.575757575757576,M
7,Nancy,123,8:31.4,29,252,1237,29,60,1279,29,62,1304,29,64,1294,31,66,511.4,14.078998826750098,14.551333872271623,14.073494917904613,13.803680981595091,13.910355486862441,7.936507936507937,8.333333333333334,8.064516129032258,7.8125,7.575757575757576,F
7,Eloïse,121,8:39.5,30,262,1287,29,63,1285,30,64,1326,30,67,1297,31,68,519.5,13.859480269489895,13.986013986013987,14.007782101167315,13.574660633484163,13.878180416345414,7.633587786259542,7.936507936507937,7.8125,7.462686567164179,7.352941176470588,F
7,Julie,119,8:48.9,30,266,1281,29,62,1344,29,66,1353,30,67,1310,33,71,528.9,13.613159387407828,14.05152224824356,13.392857142857142,13.303769401330376,13.740458015267176,7.518796992481203,8.064516129032258,7.575757575757576,7.462686567164179,7.042253521126761,F
7,Hervé,119,8:49.9,27,242,1272,26,56,1334,25,56,1365,27,61,1328,31,69,529.9,13.587469333836575,14.150943396226415,13.493253373313342,13.186813186813186,13.55421686746988,8.264462809917354,8.928571428571429,8.928571428571429,8.19672131147541,7.246376811594203,M
